Unit Name,1-Jan-2018,1-Feb-2018,1-Mar-2018,1-Apr-2018,1-May-2018,1-Jun-2018,1-Jul-2018,1-Aug-2018,1-Sep-2018,1-Oct-2018,1-Nov-2018,1-Dec-2018,1-Jan-2019,1-Feb-2019,1-Mar-2019,1-Apr-2019,1-May-2019,1-Jun-2019,1-Jul-2019,1-Aug-2019,1-Sep-2019,1-Oct-2019,1-Nov-2019,1-Dec-2019,1-Jan-2020,1-Feb-2020,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020
A B Brown ST 1,1494526.7271708231,-125272.13882054877,-350524.61995417805,-160816.5243113028,829285.0254308222,-21691.557841300964,-136566.77630917716,-42918.413879178115,393530.49447369925,-86665.86965917691,20246.48841369874,-288690.9312191772,-16575.24972417846,-512278.8232205481,-535080.2693791781,-478916.0095813018,-630535.7456841782,-484383.9350163016,-157254.249724178,-559730.3789191779,-75870.56825130165,-192962.12458417856,-171940.8465763015,-665255.2812341782,-478047.0113003552,-617300.670287268,-687901.2867353553,-472521.00452131114,-556402.1069653552,-504565.6146363118,-103673.36823035649,-413882.16765535506,-621126.6328463114,-384638.1263253545,-651784.7617463116,-572832.6113003552
A B Brown ST 2,1563484.402180822,-92951.99852054869,-322022.6226191778,-117858.47298630304,883308.9087008227,10611.189173698775,-99075.63121917692,821.162700822344,432910.72137369984,-41706.87809917831,85804.65269369981,-241230.9561391772,9464.110020821448,-498159.6976405482,-514219.812979178,-462063.21246630175,-622099.1263391782,-472143.00638630154,-131409.23181917786,-545333.6487391782,-58244.4124663017,-180024.66609917826,-157839.96810630138,-659051.5355391781,-468628.2844653552,-612288.086417268,-682736.8028653553,-463465.38900131127,-548042.5099853552,-493823.4507213116,-77872.98638535652,-396096.48134535505,-615384.8028013115,-364979.18030535453,-641190.9507213114,-563907.9553853553
A.J. Mihm Generating Station IC M1,61236.88154951504,8538.139911123286,-13258.052436484933,-1051.296600082187,10697.415394915073,-5230.104454882192,-4132.78883928496,1157.892757915075,13056.26632731782,-3576.015621484914,738.9495779178142,-11156.776347484933,28746.71395931507,947.0354029232949,-4894.507783084939,-6838.575817882187,-8509.824380284934,-13750.910487682193,9650.399451115076,-12925.898872084936,-3901.5831246821926,-5631.611799484932,-5975.606487682193,-13016.568235084933,-1310.490420600001,-10808.025691800001,-11846.523856200001,-10976.375128800004,-10322.319711,-9165.052548000003,5780.736741000004,-2876.165476800006,-11618.516419200003,1083.7715232000046,-13369.919346600002,-1062.280896000002
A.J. Mihm Generating Station IC M2,61236.88154951504,8538.139911123286,-13258.052436484933,-1051.296600082187,10697.415394915073,-5230.104454882192,-4132.78883928496,1157.892757915075,13056.26632731782,-3576.015621484914,738.9495779178142,-11156.776347484933,28746.71395931507,947.0354029232949,-4894.507783084939,-6838.575817882187,-8509.824380284934,-13750.910487682193,9650.399451115076,-12925.898872084936,-3901.5831246821926,-5631.611799484932,-5975.606487682193,-13016.568235084933,-1310.490420600001,-10808.025691800001,-11846.523856200001,-10976.375128800004,-10322.319711,-9165.052548000003,5780.736741000004,-2876.165476800006,-11618.516419200003,1083.7715232000046,-13369.919346600002,-1062.280896000002
A.J. Mihm Generating Station IC M3,61236.88154951504,8538.139911123286,-13258.052436484933,-1051.296600082187,10697.415394915073,-5230.104454882192,-4132.78883928496,1157.892757915075,13056.26632731782,-3576.015621484914,738.9495779178142,-11156.776347484933,28746.71395931507,947.0354029232949,-4894.507783084939,-6838.575817882187,-8509.824380284934,-13750.910487682193,9650.399451115076,-12925.898872084936,-3901.5831246821926,-5631.611799484932,-5975.606487682193,-13016.568235084933,-1310.490420600001,-10808.025691800001,-11846.523856200001,-10976.375128800004,-10322.319711,-9165.052548000003,5780.736741000004,-2876.165476800006,-11618.516419200003,1083.7715232000046,-13369.919346600002,-1062.280896000002
A.L. Pierce CT 4,3136316.97192814,75970.07227157522,14611.724234137007,95045.26545061644,17394.367625136983,11069.262163616426,42576.731535136976,205151.61309213698,505731.43520161643,30739.890926137,338269.46324961603,65106.01195713699,341400.3949811369,6042.3454135753345,31304.371964137034,-30037.15096438356,-31038.389329863014,-27090.392182383563,-21772.870374863014,-27723.17915686301,-27334.46018238356,-31038.389329863014,4530.811464616454,281778.1423791371,-19985.26603243169,-28956.579504371584,-30953.584987431692,-29955.082245901638,1368.7295315682823,-11236.154072901638,-2604.4704684316966,3593.6903135683096,-5835.471290901638,-3694.3249044316763,-25864.21450890163,100337.79316456821
Aberdeen CT 2,287128.15883424605,171623.9767438356,45918.210534246544,121329.65460410954,111876.24053424649,112453.53450410969,181594.74293424672,50302.284234246334,84884.1738041095,426593.3579342476,380832.3945041091,217657.26743424629,145837.2992342462,93997.73834383552,134378.00123424645,253780.7919041096,293718.4586342465,250116.6546041096,294291.0458342464,201534.4745342467,153060.46740410948,117185.88293424653,169304.0259041094,19519.5116342466,790.3039918032446,70328.7978245901,83047.55299180347,31884.11470819673,44535.44659180327,16379.997708196672,154014.0955918033,45281.74459180347,76501.85200819667,370985.96179180336,49920.48820819651,35209.14769180331
Aberdeen CT GT1,-16804.329250684932,-17947.88667287671,-14676.250990684925,-15887.307518082192,-15964.810990684928,-7956.8344780821935,-23687.087510684927,-27630.13795068493,-22372.11969808219,1981.5664093150735,2086.172481917816,-25453.01447068493,-22500.69447068493,-13039.766672876704,-25652.65447068493,15564.532481917813,22877.081189315064,31343.944661917834,20089.635969315077,15680.710749315072,-15443.989258082196,-748.5692506849264,4672.4090019178075,-27268.176210684927,-27439.644030491803,-19305.163208524587,-19366.280550491807,-24417.542749508197,-26013.324030491804,-24678.9844895082,4158.289889508196,-24928.402290491802,-21718.7792695082,3707.098589508223,-19738.742749508197,-26574.802290491803
Acadia Power Partners CC CT11,1903141.030531473,256435.7327891818,309091.846999975,1070411.2268533749,1135993.6120074675,932333.2521958787,1043610.4457959719,1157421.86285897,1345057.664122877,1099526.9129194666,1568292.8857803827,1146357.1103854745,706980.5813929741,298319.4837161868,473342.05232497264,488830.32226387627,333816.8578789725,103463.36935687467,690313.6586824735,216023.14662947605,487106.9437523764,402859.685891473,427223.99654087686,15331.085631971247,100445.63627433288,-52124.98116165935,-180359.92615667006,-174228.96283816407,-29316.160360669368,-52805.12532916444,559844.4157453314,308394.1413473329,-76430.35680016351,446883.1218763302,43632.67297833471,431746.0665793331
Acadia Power Partners CC CT12,1903141.030531473,256435.7327891818,309091.846999975,1070411.2268533749,1135993.6120074675,932333.2521958787,1043610.4457959719,1157421.86285897,1345057.664122877,1099526.9129194666,1568292.8857803827,1146357.1103854745,706980.5813929741,298319.4837161868,473342.05232497264,488830.32226387627,333816.8578789725,103463.36935687467,690313.6586824735,216023.14662947605,487106.9437523764,402859.685891473,427223.99654087686,15331.085631971247,100445.63627433288,-52124.98116165935,-180359.92615667006,-174228.96283816407,-29316.160360669368,-52805.12532916444,559844.4157453314,308394.1413473329,-76430.35680016351,446883.1218763302,43632.67297833471,431746.0665793331
Acadia Power Partners CC CT24,1563792.4833189726,210710.74868168222,253977.76582997467,879546.4990558751,933434.9073749685,766089.1696108783,857524.5578059717,951042.2927839705,1105220.8065728769,903470.5752469669,1288651.018017881,941950.4932429735,580919.0707879736,245126.21964368626,388940.5627799727,401667.123618876,274294.0669039722,85014.84477687505,567224.0224249732,177504.1195069754,400251.04024987656,331025.8874789728,351045.80468087655,12597.404021971393,82535.20283997437,-42830.590285251965,-148199.99794602796,-143162.2449896394,-24088.803970027482,-43389.45813563964,460018.71386597323,253404.46787797468,-62802.08116163922,367199.51685197226,35852.5432093594,354761.5456699747
