Unit Name,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
ACS Hillsboro ST G1,136521.59227480917,120672.01514034734,121977.27400588637,111795.19144870155,117069.7865567622,133506.24207391267,169359.75090957814,163580.45934957828,126215.25474659022,127906.85037617001,137598.2034486567,148611.39952343487,156161.19436811647,133317.21446004804,148256.7233086557,140275.64985074638,143698.0742250814,145043.99337879027,182868.67794957804,170778.9204935782,138815.64849830116,134613.49197941567,128428.67858065764,131635.77760843522
ACS Moorhead ST G1,24708.847774105205,21216.96696027394,24627.632310234163,24842.07390648403,20385.7868205568,22610.610586484014,34880.97763700827,35150.86674636319,21863.79744981732,24942.961641847098,25174.231693150643,25706.067250234148,27019.59561345999,22284.9852174169,27404.817587008372,26820.71811315066,28942.572393459843,24277.239213150635,37792.69527733101,37817.45862539543,24351.541943150696,26796.132399911585,25154.5382531507,25062.202207976094
ACS Moorhead ST G2,16471.115118736794,14143.291090182629,16416.95499815611,16560.17735632269,13589.008571037866,15072.177334989343,23252.254901338845,23432.21863824213,14574.259538544882,16627.433492564727,16781.352232767087,17135.852774822764,18011.601908306668,14855.291491611275,18268.37418533892,17879.22170610044,19293.685296306558,16183.244254100426,25193.388224887345,25209.927725596954,16232.737035433796,17862.77944260773,16768.22327276713,16706.621183317395
Adobe Fuel Cell FC ADB00,815.8987399924637,2670.155861293592,760.1093111892185,1163.989487466667,957.7314620166879,3155.974973027615,2268.3850601229115,169.9753460528303,1254.5120691882184,712.2124767051483,394.1056733356127,32.41141412866767,848.2988679924637,2702.3293898110282,750.9814391892188,1191.6841194666658,985.4922969410492,3157.1722210276153,2845.056676761185,3293.3527986162153,1251.7162931882187,711.0036767051483,428.98124191908823,39.942550128667676
Adobe Fuel Cell FC ADB01,407.94936999623184,1335.077930646796,380.05465559460924,581.9947437333335,478.86573100834397,1577.9874865138074,1134.1925300614555,84.98767302641518,627.2560345941092,356.10623835257417,197.05283666780636,16.205707064333836,424.14943399623183,1351.1646949055141,375.4907195946094,595.8420597333329,492.74614847052453,1578.5861105138074,1422.5283383805925,1646.6763993081076,625.8581465941094,355.50183835257417,214.49062095954412,19.971275064333838
AE Hunlock 4 CT 4,63216.80101533616,9871.021394489268,30339.143765223336,19492.37103115478,96743.28693197164,41539.964194454806,53021.5896609939,57907.19373643297,64588.9305257548,36114.72648193302,23812.023963254735,5928.600414171662,71893.79966735555,16042.161390946327,34172.919964662,38784.76366465479,99055.21202986196,43682.79844225479,56809.36134119731,58632.015324432934,64476.34379275479,35132.04007093292,21997.025477654755,4463.919706710367
Agua Mansa CT AMP1,64005.671942558685,188214.96353950753,68638.26808854006,103918.62836655942,85632.97749376061,150869.02137416563,285592.5447232385,33445.33525993621,90238.33151144134,132665.94663601127,91141.8916870606,47745.26581152919,31859.457140957857,197001.2295529978,63917.822461949814,112663.98793131857,90848.87652924104,151212.20518750732,429777.78545464063,38105.11164282581,88560.51228141204,131945.34606515736,105181.33989300931,61192.4666966032
Alameda CT 1,16124.300963174124,71803.19700657288,11727.16533874978,29285.78428712327,25154.13692010541,85066.81818703962,68791.48449713255,-6826.93631149281,27126.3478944164,10758.26208222084,4503.147119260029,-10788.274576637463,17810.332844089346,73760.28764597679,11224.427192119054,30905.55914045655,26490.40988010539,85116.55002703962,98577.59026877662,105432.95597900033,26965.421298960595,10689.360482220849,6660.310773277142,-9469.383200917413
Alameda CT 2,16124.300963174124,71803.19700657288,11727.16533874978,29285.78428712327,25154.13692010541,85066.81818703962,68791.48449713255,-6826.93631149281,27126.3478944164,10758.26208222084,4503.147119260029,-10788.274576637463,17810.332844089346,73760.28764597679,11224.427192119054,30905.55914045655,26490.40988010539,85116.55002703962,98577.59026877662,105432.95597900033,26965.421298960595,10689.360482220849,6660.310773277142,-9469.383200917413
Alamitos ST 3,271601.22373137105,1261674.5887447218,301676.699859566,561485.2475753345,430494.58329853154,957032.6802931416,1909685.6395322357,15860.157173204178,476154.4470853932,785173.4123150331,467150.06535070756,121817.60003705125,-3755.813227226492,1321940.2219096094,269030.96711218095,621644.1453527615,467003.3936250456,959312.1047970185,2940968.2071187617,43896.16384705971,466143.71922222484,780758.8747150337,563241.8824160064,209939.47266316187
Alamitos ST 4,272565.27733363933,1271951.815114403,302685.7270104054,564312.0142010155,432644.06638411083,964444.9229951908,1923211.1410701775,13975.064910269808,478964.4479913684,790403.0057877596,469396.17774530075,120735.0576081688,-5994.252298556967,1332614.7210337764,269872.18545204983,624844.9394764316,469315.5625584043,966708.76017169,2961451.2810419463,42194.30055501498,468986.2265243994,785948.5777877604,565820.1720873951,209271.66396584024
Alamitos ST 5,430291.92089683056,1868189.0567670406,479010.2280658142,869940.5641724826,668485.105910789,1426709.510292759,2872029.7665424203,68331.39156360243,731061.318755016,1190057.0610696187,728147.8026975933,227312.7597449469,43734.42623966944,1959567.6514965782,428333.9553350871,962047.3933904094,724379.7865304241,1430282.8350927574,4430925.057710242,113851.52060726966,713859.8747922548,1182807.3609771428,878541.8024945171,365443.36101862305
Allegheny Energy Units 1 and 2 CT UNT1,131623.01895778268,72775.02976095054,126232.07544638439,101697.57647257218,95062.5612265137,128819.35685790579,265334.6134923193,261476.28946444896,224291.09946101665,210307.60728397564,162243.7890467944,165502.53477610514,172850.54414100837,138002.3490179983,157903.03382109402,111770.23534723878,108233.70532440572,277218.7248392392,279846.0137613952,264902.4869829002,223918.2613201278,207915.7929591584,152988.87810679447,110980.93991021242
Allegheny Energy Units 1 and 2 CT UNT2,132508.2039173096,73740.9359245696,127007.865968449,102472.50733746107,96250.71194733104,130091.73953479469,266661.86557231937,262803.18553051335,225024.24822901652,210732.4413445778,162926.3758307945,166746.2730629869,174162.3084405353,139309.04560542692,159016.99638225534,112677.7320423498,109532.5558420402,277994.68017568375,281238.4663921477,266258.18017890013,224650.53334901665,208314.91526776057,153596.33977479456,112213.95175455658
Allegheny Energy Units 12 & 13 CT UN12,149368.13283753986,110706.76872697988,130864.43259143215,100777.21821287085,109109.47284760463,198592.68541286973,269354.351356076,263857.9519934121,206330.33905820432,172684.07219108788,151007.69044131492,172263.6113458414,192506.8142468312,154233.09299174204,167711.60820115288,113232.35378975996,123389.56995857245,209103.7743968695,285549.7175216674,267603.55631599214,205904.15418798194,169540.64069534617,141050.6232626478,154498.0552634323
