Unit Name ,Fuel Type ,Month Unit in Service ,Year Unit in Service ,Dispatching ISO ,Dispatching ISO Zonal Location,Operating Capacity (Owner - GSC) (MW),Summer Capacity (Owner - GSC) (MW),Winter Capacity (Owner - GSC) (MW),Non-Fuel Variable O&M Costs per MWh (Owner) ($/MWh),Fuel Costs per MWh (Owner) ($/MWh),Variable Costs ($/MWh),Fixed O&M Costs per kW-Year (Owner) ($/kW-year)
SV5 Data Center (Equinix) FC EQXOO,Gas,11,2015,CAISO,NP-15,1,1,1,46.035764,26.131681,72.167445,0
Swanton Peaker (Project #10) CT 1,Gas,NA,2010,New England,Vermont,20,20,20,4.076479,33.88242,37.958899,5.325971
Swanton Peaker (Project #10) CT 2,Gas,NA,2010,New England,Vermont,20,20,20,4.076479,33.88242,37.958899,5.325971
Sycamore (IA) CT 1,Gas,8,1974,MISO,Z3,7.35,7.35,7.35,50.856765,58.779906,109.636671,2.512775
Sycamore (IA) CT 1,Gas,8,1974,MISO,Z3,68.85,68.85,68.85,50.856765,58.779906,109.636671,2.512775
Sycamore (IA) CT 2,Gas,11,1974,MISO,Z3,7.14,7.14,7.14,50.856765,61.767366,112.624131,2.512775
Sycamore (IA) CT 2,Gas,11,1974,MISO,Z3,66.96,66.96,66.96,50.856765,61.767366,112.624131,2.512775
Sycamore (WI) CT 1,Gas,12,1967,MISO,Z2,11.4,11.4,11.4,4474.609161,261.637636,4736.246797,4.324845
Sycamore (WI) CT 2,Gas,6,1971,MISO,Z2,16.9,16.9,16.9,4474.609161,261.637636,4736.246797,4.324845
Sylvarena CT 1,Gas,7,2003,MISO,Z10,47,43,47,1.53714,27.303003,28.840143,3.803203
Sylvarena CT 2,Gas,7,2003,MISO,Z10,47,43,47,1.53714,27.471181,29.008321,3.803203
Sylvarena CT 3,Gas,7,2003,MISO,Z10,47,43,47,1.53714,27.611108,29.148248,3.803203
Syracuse IC 6,Gas,4,1969,SPP,SPP,1.6,1.6,1.6,15.141072,28.096024,43.237096,10.395876
Syracuse IC 7,Gas,5,1970,SPP,SPP,1.6,1.6,1.6,15.141072,28.096024,43.237096,10.395876
T H Wharton CC 3,Gas,8,1974,ERCOT,Houston,104,104,104,8.802449,28.125226,36.927675,14.16221
T H Wharton CC 31,Gas,7,1972,ERCOT,Houston,57,57,57,8.802449,28.125226,36.927675,14.16221
T H Wharton CC 32,Gas,7,1972,ERCOT,Houston,57,57,57,8.802449,28.125226,36.927675,14.16221
T H Wharton CC 33,Gas,7,1972,ERCOT,Houston,57,57,57,8.802449,28.125226,36.927675,14.16221
T H Wharton CC 34,Gas,7,1972,ERCOT,Houston,57,57,57,8.802449,28.125226,36.927675,14.16221
T H Wharton CC 4,Gas,8,1974,ERCOT,Houston,104,104,104,8.802449,28.125226,36.927675,14.16221
T H Wharton CC 41,Gas,7,1972,ERCOT,Houston,57,57,57,8.802449,28.125226,36.927675,14.16221
T H Wharton CC 42,Gas,7,1972,ERCOT,Houston,57,57,57,8.802449,28.125226,36.927675,14.16221
T H Wharton CC 43,Gas,8,1974,ERCOT,Houston,57,57,57,8.802449,28.125226,36.927675,14.16221
T H Wharton CC 44,Gas,8,1974,ERCOT,Houston,57,57,57,8.802449,28.125226,36.927675,14.16221
T H Wharton CT 51,Gas,11,1975,ERCOT,Houston,58,58,58,8.310395,40.711814,49.022209,4.014491
T H Wharton CT 52,Gas,11,1975,ERCOT,Houston,58,58,58,8.310395,40.711814,49.022209,4.014491
T H Wharton CT 53,Gas,11,1975,ERCOT,Houston,58,58,58,8.310395,40.711814,49.022209,4.014491
T H Wharton CT 54,Gas,11,1975,ERCOT,Houston,58,58,58,8.310395,40.711814,49.022209,4.014491
T H Wharton CT 55,Gas,11,1975,ERCOT,Houston,58,58,58,8.310395,40.711814,49.022209,4.014491
T H Wharton CT 56,Gas,11,1975,ERCOT,Houston,58,58,58,8.310395,40.711814,49.022209,4.014491
T H Wharton CT GT1,Gas,7,1967,ERCOT,Houston,13,13,13,8.310395,40.711814,49.022209,4.014491
TAC-DER IC NG-1,Gas,5,2017,MISO,Z4,0.5,0.5,0.5,15.141072,28.976368,44.11744,10.395876
TAC-DER IC NG-2,Gas,5,2017,MISO,Z4,0.5,0.5,0.5,15.141072,28.976368,44.11744,10.395876
Taconite Harbor ST GEN1,Coal,1,1957,MISO,Z1,79,79,79,2.757107,19.788472,22.545579,29.241608
Taconite Harbor ST GEN2,Coal,1,1957,MISO,Z1,75.9,75.9,75.9,2.757107,19.852628,22.609735,29.241608
Tait Electric Generating Stati CT GT4,Gas,5,2002,PJM,DAYTON,94,85,94,1.568399,33.07043,34.638829,3.416673
Tait Electric Generating Stati CT GT5,Gas,5,2002,PJM,DAYTON,94,85,94,1.568399,32.421894,33.990293,3.416673
Tait Electric Generating Stati CT GT6,Gas,4,2002,PJM,DAYTON,94,85,94,1.568399,32.725318,34.293717,3.416673
Tait Electric Generating Stati CT GT7,Gas,4,2002,PJM,DAYTON,94,85,94,1.568399,35.769352,37.337751,3.416673
Tarrytown Fuel Cell FC RGP00,Gas,10,2018,New York,Zone I (Dunwoodie),1.5,1.5,1.5,46.035764,17.019386,63.05515,0
Taylor Farms Salinas FC TLR,Gas,9,2012,CAISO,NP-15,1,1,1,46.035764,26.516416,72.55218,0
Teche CT 4,Gas,3,2011,MISO,Z9,34.3,34.3,34,25.876128,72.435858,98.311986,4.737683
Teche ST 3,Gas,3,1971,MISO,Z9,330.7,330.7,328,1.861834,31.039735,32.901569,22.914634
Tenaska Frontier CC GTG1,Gas,9,2000,MISO,Z9,49.56,43.4,49.56,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG1,Gas,9,2000,MISO,Z9,17.7,15.5,17.7,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG1,Gas,9,2000,MISO,Z9,54.87,48.05,54.87,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG1,Gas,9,2000,MISO,Z9,54.87,48.05,54.87,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG2,Gas,9,2000,MISO,Z9,49.56,43.4,49.56,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG2,Gas,9,2000,MISO,Z9,17.7,15.5,17.7,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG2,Gas,9,2000,MISO,Z9,54.87,48.05,54.87,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG2,Gas,9,2000,MISO,Z9,54.87,48.05,54.87,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG3,Gas,9,2000,MISO,Z9,49.56,43.4,49.56,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG3,Gas,9,2000,MISO,Z9,17.7,15.5,17.7,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG3,Gas,9,2000,MISO,Z9,54.87,48.05,54.87,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC GTG3,Gas,9,2000,MISO,Z9,54.87,48.05,54.87,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC STG1,Gas,9,2000,MISO,Z9,110.6,110.6,110.6,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC STG1,Gas,9,2000,MISO,Z9,39.5,39.5,39.5,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC STG1,Gas,9,2000,MISO,Z9,122.45,122.45,122.45,1.248048,19.099901,20.347949,10.514496
Tenaska Frontier CC STG1,Gas,9,2000,MISO,Z9,122.45,122.45,122.45,1.248048,19.099901,20.347949,10.514496
Tenaska Gateway CC GTG1,Gas,7,2001,ERCOT,North,9.13,8.03,9.13,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG1,Gas,7,2001,ERCOT,North,9.13,8.03,9.13,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG1,Gas,7,2001,ERCOT,North,46.15,40.59,46.15,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG1,Gas,7,2001,ERCOT,North,16.93,14.89,16.93,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG1,Gas,7,2001,ERCOT,North,66.4,58.4,66.4,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG1,Gas,7,2001,ERCOT,North,18.26,16.06,18.26,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG2,Gas,7,2001,ERCOT,North,9.3,8.2,9.3,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG2,Gas,7,2001,ERCOT,North,9.3,8.2,9.3,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG2,Gas,7,2001,ERCOT,North,46.98,41.42,46.98,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG2,Gas,7,2001,ERCOT,North,17.24,15.2,17.24,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG2,Gas,7,2001,ERCOT,North,67.6,59.6,67.6,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG2,Gas,7,2001,ERCOT,North,18.59,16.39,18.59,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG3,Gas,7,2001,ERCOT,North,9.24,8.14,9.24,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG3,Gas,7,2001,ERCOT,North,9.24,8.14,9.24,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG3,Gas,7,2001,ERCOT,North,46.7,41.14,46.7,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG3,Gas,7,2001,ERCOT,North,17.14,15.1,17.14,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG3,Gas,7,2001,ERCOT,North,67.2,59.2,67.2,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC GTG3,Gas,7,2001,ERCOT,North,18.48,16.28,18.48,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC STG1,Gas,7,2001,ERCOT,North,22.11,22.11,22.11,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC STG1,Gas,7,2001,ERCOT,North,22.11,22.11,22.11,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC STG1,Gas,7,2001,ERCOT,North,111.76,111.76,111.76,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC STG1,Gas,7,2001,ERCOT,North,41,41,41,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC STG1,Gas,7,2001,ERCOT,North,160.8,160.8,160.8,1.455125,19.492163,20.947288,10.466636
Tenaska Gateway CC STG1,Gas,7,2001,ERCOT,North,44.22,44.22,44.22,1.455125,19.492163,20.947288,10.466636
Tenaska Virginia Generating CC CTG1,Gas,4,2004,PJM,DOM,18.25,15.04,18.25,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG1,Gas,4,2004,PJM,DOM,18.25,15.04,18.25,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG1,Gas,4,2004,PJM,DOM,73.01,60.17,73.01,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG1,Gas,4,2004,PJM,DOM,31.29,25.79,31.29,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG1,Gas,4,2004,PJM,DOM,31.29,25.79,31.29,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG1,Gas,4,2004,PJM,DOM,36.51,30.08,36.51,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG2,Gas,4,2004,PJM,DOM,18.22,15.56,18.22,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG2,Gas,4,2004,PJM,DOM,18.22,15.56,18.22,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG2,Gas,4,2004,PJM,DOM,72.87,62.23,72.87,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG2,Gas,4,2004,PJM,DOM,31.23,26.67,31.23,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG2,Gas,4,2004,PJM,DOM,31.23,26.67,31.23,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG2,Gas,4,2004,PJM,DOM,36.44,31.12,36.44,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG3,Gas,4,2004,PJM,DOM,17.92,15.86,17.92,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG3,Gas,4,2004,PJM,DOM,17.92,15.86,17.92,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG3,Gas,4,2004,PJM,DOM,71.68,63.42,71.68,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG3,Gas,4,2004,PJM,DOM,30.72,27.18,30.72,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG3,Gas,4,2004,PJM,DOM,30.72,27.18,30.72,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC CTG3,Gas,4,2004,PJM,DOM,35.84,31.71,35.84,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC STG1,Gas,4,2004,PJM,DOM,35.18,35.18,34.58,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC STG1,Gas,4,2004,PJM,DOM,35.18,35.18,34.58,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC STG1,Gas,4,2004,PJM,DOM,140.74,140.74,138.32,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC STG1,Gas,4,2004,PJM,DOM,60.32,60.32,59.28,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC STG1,Gas,4,2004,PJM,DOM,60.32,60.32,59.28,0.837194,20.516096,21.35329,10.092732
Tenaska Virginia Generating CC STG1,Gas,4,2004,PJM,DOM,70.37,70.37,69.16,0.837194,20.516096,21.35329,10.092732
Tennessee Eastman Division ST TG10,Coal,2,1946,PJM,AEP,6,6,6,4.823464,20.247059,25.070523,19.962398
Tennessee Eastman Division ST TG11,Coal,5,1949,PJM,AEP,6,6,6,4.823464,20.246026,25.06949,19.962398
Tennessee Eastman Division ST TG12,Coal,2,1953,PJM,AEP,6,6,6,4.823464,20.250778,25.074242,19.962398
Tennessee Eastman Division ST TG13,Coal,1,1960,PJM,AEP,7,7,7,4.823464,20.252891,25.076355,19.962398
Tennessee Eastman Division ST TG14,Coal,4,1962,PJM,AEP,10,10,10,4.823464,20.246974,25.070438,19.962398
Tennessee Eastman Division ST TG15,Coal,10,1963,PJM,AEP,7.5,7.5,7.5,4.823464,20.247477,25.070941,19.962398
Tennessee Eastman Division ST TG16,Coal,7,1966,PJM,AEP,10.4,10.4,10.4,4.823464,15.587075,20.410539,19.962398
Tennessee Eastman Division ST TG17,Coal,10,1966,PJM,AEP,10.4,10.4,10.4,4.823464,20.251728,25.075192,19.962398
Tennessee Eastman Division ST TG18,Coal,7,1967,PJM,AEP,10.4,10.4,10.4,4.823464,15.585239,20.408703,19.962398
Tennessee Eastman Division ST TG19,Coal,3,1970,PJM,AEP,10.4,10.4,10.4,4.823464,15.587529,20.410993,19.962398
Tennessee Eastman Division ST TG20,Coal,4,1972,PJM,AEP,10.4,10.4,10.4,4.823464,20.24831,25.071774,19.962398
Tennessee Eastman Division ST TG21,Coal,7,1969,PJM,AEP,15,15,15,4.823464,15.59023,20.413694,19.962398
Tennessee Eastman Division ST TG22,Coal,9,1982,PJM,AEP,15.4,15.4,15.4,4.823464,20.250108,25.073572,19.962398
Tennessee Eastman Division ST TG24,Coal,7,1983,PJM,AEP,16.8,16.8,16.8,4.823464,15.589303,20.412767,19.962398
Tennessee Eastman Division ST TG25,Coal,12,1994,PJM,AEP,18,18,18,4.823464,20.253966,25.07743,19.962398
Tennessee Eastman Division ST TG26,Coal,10,1994,PJM,AEP,16.6,16.6,16.6,4.823464,20.25328,25.076744,19.962398
Tennessee Eastman Division ST TGO7,Coal,9,1936,PJM,AEP,6,6,6,4.823464,20.247372,25.070836,19.962398
Tennessee Eastman Division ST TGO8,Coal,9,1939,PJM,AEP,6,6,6,4.823464,20.247955,25.071419,19.962398
Tennessee Eastman Division ST TGO9,Coal,7,1941,PJM,AEP,6,6,6,4.823464,20.251898,25.075362,19.962398
Terry Bundy Generating Station CC 1,Gas,8,2004,SPP,SPP,28.6,27.3,28.6,8.802449,21.411905,30.214354,17.902838
Terry Bundy Generating Station CC 2,Gas,10,2003,SPP,SPP,48,46,48,8.802449,21.411905,30.214354,17.902838
Terry Bundy Generating Station CC 3,Gas,4,2004,SPP,SPP,48,44.9,48,8.802449,21.411905,30.214354,17.902838
Terry Bundy Generating Station CT 4,Gas,8,2003,SPP,SPP,48,45.5,48,1.53714,28.273188,29.810328,5.051371
TES Filer City Station ST GEN1,Coal,5,1990,MISO,Z7,0.6,0.6,0.6,3.930059,31.356822,35.286881,18.993643
TES Filer City Station ST GEN1,Coal,5,1990,MISO,Z7,3,3,3,3.930059,31.356822,35.286881,18.993643
TES Filer City Station ST GEN1,Coal,5,1990,MISO,Z7,30,30,30,3.930059,31.356822,35.286881,18.993643
TES Filer City Station ST GEN1,Coal,5,1990,MISO,Z7,26.4,26.4,26.4,3.930059,31.356822,35.286881,18.993643
Thomas C Ferguson CC CT-1,Gas,8,2014,ERCOT,South,174.63,162.09,174.63,0.776858,17.695971,18.472829,9.618338
Thomas C Ferguson CC CT-1,Gas,8,2014,ERCOT,South,6.37,5.91,6.37,0.776858,17.695971,18.472829,9.618338
Thomas C Ferguson CC CT-2,Gas,8,2014,ERCOT,South,174.63,162.09,174.63,0.776858,17.695971,18.472829,9.618338
Thomas C Ferguson CC CT-2,Gas,8,2014,ERCOT,South,6.37,5.91,6.37,0.776858,17.695971,18.472829,9.618338
Thomas C Ferguson CC STG,Gas,8,2014,ERCOT,South,187.17,173.66,187.17,0.776858,17.695971,18.472829,9.618338
Thomas C Ferguson CC STG,Gas,8,2014,ERCOT,South,6.83,6.34,6.83,0.776858,17.695971,18.472829,9.618338
Thornridge High School IC 1,Gas,3,1996,PJM,COMED,0.5,0.5,0.4,15.141072,21.95769,37.098762,10.395876
Thornridge High School IC 2,Gas,3,1996,PJM,COMED,0.5,0.5,0.4,15.141072,21.95769,37.098762,10.395876
Thornwood High School IC 1,Gas,9,1996,PJM,COMED,0.7,0.7,0.5,634.44791,122.446414,756.894324,0.662719
Thornwood High School IC 2,Gas,9,1996,PJM,COMED,0.7,0.7,0.5,634.44791,122.446414,756.894324,0.662719
THUMS Generation Facility CT GEN1,Gas,1,2003,CAISO,SP-15,45,45,45,1.53714,36.043828,37.580968,5.177531
Tilton CT 1,Gas,6,1999,MISO,Z4,50,45.1,50,3.406541,26.127601,29.534142,3.734271
Tilton CT 2,Gas,6,1999,MISO,Z4,50,45.2,50,3.406541,25.513829,28.92037,3.734271
Tilton CT 3,Gas,6,1999,MISO,Z4,50,45.1,50,3.406541,24.818947,28.225488,3.734271
Tilton CT 4,Gas,6,1999,MISO,Z4,50,45,50,3.406541,24.989529,28.39607,3.734271
Tiverton CC UNT1,Gas,3,2000,New England,Rhode Island,203.7,177.4,203.7,1.435578,24.435826,25.871404,13.503805
Tiverton CC UNT2,Gas,6,2000,New England,Rhode Island,94.9,90.6,94.9,1.435578,24.435826,25.871404,13.503805
TJ Labbe Station CT U-1,Gas,8,2005,MISO,Z9,47,47,47,7.293724,30.039135,37.332859,3.996467
TJ Labbe Station CT U-2,Gas,8,2005,MISO,Z9,47,47,47,7.293724,29.979689,37.273413,3.996467
Tolk ST 1,Coal,1,1982,SPP,SPP,532,532,532,2.014718,18.814926,20.829644,16.732644
Tolk ST 2,Coal,1,1985,SPP,SPP,535,535,535,2.014718,18.814926,20.829644,16.732644
Towantic Energy Center CC CTG1,Gas,5,2018,New England,Connecticut,71.79,65.78,71.79,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG1,Gas,5,2018,New England,Connecticut,136.67,125.24,136.67,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG1,Gas,5,2018,New England,Connecticut,8.72,7.99,8.72,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG1,Gas,5,2018,New England,Connecticut,12.01,11.01,12.01,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG1,Gas,5,2018,New England,Connecticut,9.08,8.32,9.08,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG1,Gas,5,2018,New England,Connecticut,37.83,34.66,37.83,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG2,Gas,5,2018,New England,Connecticut,137.12,125.63,137.12,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG2,Gas,5,2018,New England,Connecticut,72.02,65.99,72.02,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG2,Gas,5,2018,New England,Connecticut,9.11,8.35,9.11,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG2,Gas,5,2018,New England,Connecticut,12.05,11.04,12.05,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG2,Gas,5,2018,New England,Connecticut,8.75,8.02,8.75,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC CTG2,Gas,5,2018,New England,Connecticut,37.95,34.77,37.95,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC STG,Gas,5,2018,New England,Connecticut,77.01,70.59,77.01,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC STG,Gas,5,2018,New England,Connecticut,146.62,134.39,146.62,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC STG,Gas,5,2018,New England,Connecticut,12.88,11.81,12.88,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC STG,Gas,5,2018,New England,Connecticut,9.74,8.93,9.74,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC STG,Gas,5,2018,New England,Connecticut,9.36,8.58,9.36,1.026807,23.226553,24.25336,13.544908
Towantic Energy Center CC STG,Gas,5,2018,New England,Connecticut,40.58,37.2,40.58,1.026807,23.226553,24.25336,13.544908
Toyota IC 01,Gas,12,1998,MISO,Z3,1,1,1,152.688888,23.285843,175.974731,0.662719
Tracy Peaker Project CC TPP1,Gas,11,2012,CAISO,NP-15,87.5,82.1,87.5,1.771521,30.56415,32.335671,10.375081
Tracy Peaker Project CC TPP2,Gas,11,2012,CAISO,NP-15,87.4,81.8,87.4,1.771521,30.56415,32.335671,10.375081
Tracy Peaker Project TCC1,Gas,11,2012,CAISO,NP-15,167.3,156.2,167.3,1.771521,30.56415,32.335671,10.375081
Trenton Channel ST 9,Coal,1,1968,MISO,Z7,495,495,495,10.185849,24.453169,34.639018,36.924093
Trimble County ST 1,Coal,12,1990,PJM,EKPC,383.25,383.25,383.25,2.606421,19.393493,21.999914,27.679456
Trimble County ST 1,Coal,12,1990,PJM,EKPC,65.82,65.82,65.82,2.606421,19.393493,21.999914,27.679456
Trimble County ST 1,Coal,12,1990,PJM,EKPC,61.93,61.93,61.93,2.606421,19.393493,21.999914,27.679456
Trimble County ST 2,Coal,2,2011,PJM,EKPC,461.7,444.69,461.7,2.606421,17.500586,20.107007,27.679456
Trimble County ST 2,Coal,2,2011,PJM,EKPC,108.3,104.31,108.3,2.606421,17.500586,20.107007,27.679456
Trimble County ST 2,Coal,2,2011,PJM,EKPC,97.89,94.28,97.89,2.606421,17.500586,20.107007,27.679456
Trimble County ST 2,Coal,2,2011,PJM,EKPC,92.11,88.72,92.11,2.606421,17.500586,20.107007,27.679456
Trinidad ST 6,Gas,5,1965,ERCOT,North,235,235,235,41.103521,32.881269,73.98479,17.777566
Troy Energy LLC CT 1,Gas,6,2002,PJM,ATSI,198.9,178.5,198.9,2.169509,27.402982,29.572491,3.280768
Troy Energy LLC CT 2,Gas,6,2002,PJM,ATSI,198.9,173.1,198.9,2.169509,27.516594,29.686103,3.280768
Troy Energy LLC CT 3,Gas,6,2002,PJM,ATSI,198.9,173.4,198.9,2.169509,27.560308,29.729817,3.280768
Troy Energy LLC CT 4,Gas,6,2002,PJM,ATSI,198.9,176.1,198.9,2.169509,27.797835,29.967344,3.280768
TRS Fuel Cell FC MMH1-1,Gas,2,2019,New England,Connecticut,1.4,1.4,1.4,46.035764,21.677773,67.713537,0
TRS Fuel Cell FC MMH1-2,Gas,2,2019,New England,Connecticut,1.4,1.4,1.4,46.035764,21.677773,67.713537,0
TRS Fuel Cell FC MMH1-3,Gas,2,2019,New England,Connecticut,0.9,0.9,0.9,46.035764,21.677773,67.713537,0
Tulsa ST 2,Gas,11,1956,SPP,SPP,150,150,150,8.612292,25.535299,34.147591,15.490457
Tulsa ST 4,Gas,4,1958,SPP,SPP,155,155,155,8.612292,25.292466,33.904758,15.490457
Twin Oaks Power ST 1,Coal,9,1990,ERCOT,North,153,152,153,2.604492,7.41488,10.019372,27.141932
Twin Oaks Power ST 2,Coal,10,1991,ERCOT,North,154,153,154,2.604492,7.39807,10.002562,27.141932
Ty Cooke CT GT2,Gas,6,1971,SPP,SPP,18.5,16,18.5,10.570278,22.230107,32.800385,10.956652
Ty Cooke CT GT3,Gas,7,1974,SPP,SPP,18,16,18,10.570278,22.230107,32.800385,10.956652
Ty Cooke ST 1,Gas,6,1965,SPP,SPP,42,42,42,3.141518,16.288179,19.429697,11.9629
Ty Cooke ST 2,Gas,6,1978,SPP,SPP,46,46,46,3.141518,16.288179,19.429697,11.9629
Union Power Facility CC CTG1,Gas,1,2003,MISO,Z8,157.68,147.06,157.68,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC CTG2,Gas,1,2003,MISO,Z8,157.68,147.06,157.68,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC CTG3,Gas,4,2003,MISO,Z8,155.04,144.54,155.04,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC CTG4,Gas,4,2003,MISO,Z8,155.04,144.54,155.04,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC CTG5,Gas,5,2003,MISO,Z8,152.22,145.67,152.22,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC CTG6,Gas,5,2003,MISO,Z8,152.22,145.67,152.22,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC CTG7,Gas,6,2003,MISO,Z8,152.57,145.12,152.57,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC CTG8,Gas,6,2003,MISO,Z8,152.57,145.12,152.57,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC STG1,Gas,1,2003,MISO,Z8,228.45,213.07,228.45,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC STG2,Gas,4,2003,MISO,Z8,224.63,209.42,224.63,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC STG3,Gas,5,2003,MISO,Z8,220.55,211.06,220.55,1.148597,18.900408,20.049005,16.68776
Union Power Facility CC STG4,Gas,6,2003,MISO,Z8,221.06,210.26,221.06,1.148597,18.900408,20.049005,16.68776
University of Iowa CFB GEN6,Coal,1,1974,MISO,Z3,15,15,15,9.84949,12.140063,21.989553,14.372759
University of Iowa ST GEN1,Coal,1,1947,MISO,Z3,3,3,3,9.84949,12.143626,21.993116,14.372759
University of Iowa ST GEN2,Coal,1,1956,MISO,Z3,3,3,3,9.84949,12.137787,21.987277,14.372759
University of Missouri - Colum ST 6025,Coal,12,2017,MISO,Z5,0.3,0.3,0.3,9.84949,14.25079,24.10028,14.372759
University of Missouri - Colum ST GEN1,Coal,7,1961,MISO,Z5,6.1,6,6.1,9.84949,41.201563,51.051053,14.372759
University of Missouri - Colum ST GEN2,Coal,7,1974,MISO,Z5,12.3,12.2,12.3,9.84949,9.52313,19.37262,14.372759
University of Missouri - Colum ST GEN3,Coal,8,1986,MISO,Z5,19.4,19.2,19.4,9.84949,9.476766,19.326256,14.372759
