Unit Name ,Fuel Type ,Month Unit in Service ,Year Unit in Service ,Dispatching ISO ,Dispatching ISO Zonal Location,Operating Capacity (Owner - GSC) (MW),Summer Capacity (Owner - GSC) (MW),Winter Capacity (Owner - GSC) (MW),Non-Fuel Variable O&M Costs per MWh (Owner) ($/MWh),Fuel Costs per MWh (Owner) ($/MWh),Variable Costs ($/MWh),Fixed O&M Costs per kW-Year (Owner) ($/kW-year)
Cricket Valley CC U004,Gas,10,2019,New York,Zone G (Hudson Valley),13.94,13.94,13.94,1.23602,24.181149,25.417169,14.156171
Cricket Valley CC U004,Gas,10,2019,New York,Zone G (Hudson Valley),47.38,47.38,47.38,1.23602,24.181149,25.417169,14.156171
Cricket Valley CC U004,Gas,10,2019,New York,Zone G (Hudson Valley),11.14,11.14,11.14,1.23602,24.181149,25.417169,14.156171
Cricket Valley CC U004,Gas,10,2019,New York,Zone G (Hudson Valley),11.14,11.14,11.14,1.23602,24.181149,25.417169,14.156171
Cricket Valley CC U004,Gas,10,2019,New York,Zone G (Hudson Valley),34.84,34.84,34.84,1.23602,24.181149,25.417169,14.156171
Cricket Valley CC U004,Gas,10,2019,New York,Zone G (Hudson Valley),34.84,34.84,34.84,1.23602,24.181149,25.417169,14.156171
Cricket Valley CC U004,Gas,10,2019,New York,Zone G (Hudson Valley),34.82,34.82,34.82,1.23602,24.181149,25.417169,14.156171
Crossroads Energy Center CT01,Gas,7,2002,MISO,Z10,77,77,77,0.67447,33.455398,34.129868,1.105023
Crossroads Energy Center CT02,Gas,7,2002,MISO,Z10,77,77,77,0.67447,35.440163,36.114633,1.105023
Crossroads Energy Center CT03,Gas,7,2002,MISO,Z10,77,77,77,0.67447,35.515341,36.189811,1.105023
Crossroads Energy Center CT04,Gas,7,2002,MISO,Z10,77,77,77,0.67447,34.43797,35.11244,1.105023
CSC Tech Mgmt Group Western Ce CT 001,Gas,1,1988,CAISO,SP-15,4,4,4,4.076479,38.920233,42.996712,5.325971
Culbertson Peaking CT 01,Gas,12,2010,MISO,Z1,95.5,90.8,95.5,1.554053,18.916854,20.470907,3.666264
Cumberland (NJ) CT CUMB,Gas,1,1990,PJM,AE,5.1,4.24,5.1,1.8275,33.980299,35.807799,3.981683
Cumberland (NJ) CT CUMB,Gas,1,1990,PJM,AE,99,82.36,99,1.8275,33.980299,35.807799,3.981683
Cumberland (NJ) CT CUMB2,Gas,6,2009,PJM,AE,5,4.73,5,1.8275,24.923874,26.751374,3.981683
Cumberland (NJ) CT CUMB2,Gas,6,2009,PJM,AE,97,91.77,97,1.8275,24.923874,26.751374,3.981683
Cunningham CT 3,Gas,NA,1997,SPP,SPP,106,106,98,5.9356,16.071709,22.007309,20.935269
Cunningham CT 4,Gas,NA,1997,SPP,SPP,103,103,98,5.9356,16.592677,22.528277,20.935269
Cunningham ST 1,Gas,1,1957,SPP,SPP,68,68,68,0.187013,15.342023,15.529036,5.44183
Cunningham ST 2,Gas,1,1965,SPP,SPP,183,183,183,0.187013,14.394594,14.581607,5.44183
Curtis IC 2,Gas,1,1955,SPP,SPP,0.8,0.8,0.8,373.232065,48.6972,421.929265,0.662719
Curtis IC 3,Gas,1,1969,SPP,SPP,1,1,1,373.232065,48.697202,421.929267,0.662719
Curtis IC 4,Gas,1,1975,SPP,SPP,1.2,1.2,1.2,373.232065,48.697201,421.929266,0.662719
Custer Street Energy Center CT 1,Gas,6,1999,MISO,Z2,24,22,24,29.672902,42.089879,71.762781,7.95303
Cuyamaca Peak Energy CT CPP6,Gas,5,2002,CAISO,SP-15,48.7,48.7,48.7,10.984813,39.405479,50.390292,11.078187
CWLP - Jonesboro CT SN01,Gas,7,1999,MISO,Z8,23,20,23,5.284923,31.166464,36.451387,3.758241
